protocol,feature_set,seed,model_seed,fold,train_user,test_user,train_session,val_session,test_session,best_epoch,num_train,num_val,num_test,accuracy,segment_cosine,reversed_segment_cosine,shifted_segment_cosine,order_margin_reversed,target_mse,class_prototype_cosine,residual_best_epoch,residual_segment_cosine,residual_reversed_segment_cosine,residual_order_margin_reversed,residual_target_mse
subject,all,42,42,0,S002,S001,SES01+SES02,SES03,ALL,105,1000,500,1500,0.028,-0.01613594777882099,-0.015890438109636307,-0.02972717210650444,-0.00024550946545787156,2.0322718620300293,0.6205627918243408,50,0.027994658797979355,0.007898448035120964,0.02009621448814869,1.9440107345581055
subject,all,42,43,1,S001,S002,SES01+SES02,SES03,ALL,79,1000,500,1500,0.03266666666666666,-0.026343021541833878,-0.00828783679753542,0.002486382843926549,-0.018055185675621033,2.0526859760284424,0.6323195099830627,73,0.02202393300831318,0.02534146048128605,-0.0033175284042954445,1.9559521675109863
subject,all,43,43,0,S002,S001,SES01+SES02,SES03,ALL,94,1000,500,1500,0.025333333333333333,0.006461441051214933,-0.00012343596608843654,-0.004382197745144367,0.006584877148270607,1.9870771169662476,0.6205627918243408,41,0.03815869241952896,0.016266949474811554,0.021891741082072258,1.9236825704574585
subject,all,43,44,1,S001,S002,SES01+SES02,SES03,ALL,93,1000,500,1500,0.03866666666666667,-0.04689250513911247,0.003375460160896182,0.014448951929807663,-0.050267964601516724,2.093785047531128,0.6323195099830627,115,0.024249354377388954,0.04036740958690643,-0.01611805520951748,1.9515012502670288
subject,all,44,44,0,S002,S001,SES01+SES02,SES03,ALL,96,1000,500,1500,0.024,-0.002890186384320259,-0.009738808497786522,-0.003827228443697095,0.00684862257912755,2.0057802200317383,0.6205627918243408,49,0.05598427355289459,0.038421954959630966,0.017562320455908775,1.8880316019058228
subject,all,44,45,1,S001,S002,SES01+SES02,SES03,ALL,110,1000,500,1500,0.03133333333333333,0.0033652642741799355,0.017717022448778152,0.024643147364258766,-0.014351758174598217,1.9932695627212524,0.6323195099830627,105,0.0144242187961936,0.02662290446460247,-0.01219868753105402,1.9711514711380005
