fold,train_session,val_session,test_session,best_epoch,num_train,num_val,num_test,accuracy,segment_cosine,reversed_segment_cosine,shifted_segment_cosine,order_margin_reversed,target_mse,class_prototype_cosine,residual_best_epoch,residual_segment_cosine,residual_reversed_segment_cosine,residual_order_margin_reversed,residual_target_mse
0,SES03,SES02,SES01,105,1000,1000,1000,0.22,0.2456226944923401,0.0037601084914058447,0.05854838714003563,0.24186259508132935,1.5087547302246094,0.7898553609848022,123,0.12403316050767899,0.020846033468842506,0.10318712890148163,1.7519338130950928
1,SES01,SES03,SES02,131,1000,1000,1000,0.258,0.36887404322624207,-0.0019232026534155011,0.045423585921525955,0.37079718708992004,1.2622520923614502,0.7991700172424316,83,0.1647079885005951,0.03111319988965988,0.1335947960615158,1.6705840826034546
2,SES02,SES01,SES03,125,1000,1000,1000,0.356,0.35362085700035095,-0.025616945698857307,0.020059334114193916,0.3792378008365631,1.2927583456039429,0.7953013777732849,92,0.16508975625038147,0.03290863335132599,0.13218112289905548,1.6698206663131714
