representation,original_delta_r2,audited_delta_r2,uncorrected_matched_delta_r2,correction_gain,uniform_matched_delta_r2,boundary_gain_vs_uniform
all_modalities,0.03212359100580212,0.03373895138502118,0.033721847832202875,1.7103552818302503e-05,0.03526869565248485,-0.0015297442674636688
attention_temporal_student,0.019527198374271373,0.021282774209976152,0.020968869328498813,0.0003139048814773393,0.023178678750991787,-0.0018959045410156354
contactless_nonlip,0.028634208440780615,0.030285179615020724,0.030245678126811948,3.95014882087763e-05,0.03130164295434948,-0.0010164633393287548
laser,0.018501062691211677,0.018709686398506113,0.018968281149864163,-0.0002585947513580496,0.0220663487911224,-0.0033566623926162865
lip,-0.008055056631565074,-0.00712024867534635,-0.007090447843074775,-2.9800832271575407e-05,0.0024596437811851253,-0.009579892456531475
mmwave,0.00908793359994885,0.009073455631732924,0.009277546405792224,-0.00020409077405929982,0.010650137066841099,-0.001576681435108175
multitask_temporal_student,0.01510630100965495,0.01625705957412716,0.016481249034404725,-0.0002241894602775657,0.017506180703639948,-0.0012491211295127883
uwb,0.01776511669158931,0.017718207836151086,0.01731769889593121,0.000400508940219875,0.017297823727130852,0.00042038410902023315
