mode,k,macro_r2,baseline_r2,delta_r2,ablation_loss,random_mean_loss,mean_fold_p,content_overlap,significant_folds
full,0,0.40631414013837536,0.39626899361610407,0.01004514652227122,0.0,0.0,1.0,0.0,0
phone_top_ablation,10,0.4045129486793077,0.39626899361610407,0.00824395506320352,0.0018011914590677198,0.00012957857624621726,0.4138613861386139,0.0,2
phone_top_ablation,25,0.40422513883581085,0.39626899361610407,0.00795614521970674,0.0020890013025645,0.00040001184927330004,0.39801980198019804,1.0,2
phone_top_ablation,50,0.4029720985710149,0.39626899361610407,0.0067031049549108,0.003342041567360362,0.00099812661003752,0.28118811881188116,3.2,1
