representation,feature,r2_mean,r2_std,class_position_baseline_r2_mean,delta_r2_mean,correlation_mean,order_margin_mean,folds,mean_test_rows
all_modalities,affricate,0.2919229865074157,0.2342633398536409,0.3105250000953674,-0.0186020135879516,0.5835781354015566,0.0400875656952851,5,95.2
all_modalities,fricative,0.4145401239395141,0.0316484829870438,0.3962705850601196,0.0182695388793945,0.6593002204593863,0.1893820589505787,5,95.2
all_modalities,glide,0.3447588205337524,0.1237662612800884,0.3548766374588012,-0.0101178169250488,0.6111671181764383,0.3422027360719016,5,95.2
all_modalities,liquid,0.4028408646583557,0.1032850330976611,0.3776917695999146,0.0251490950584411,0.6490097704240675,0.3378210623903427,5,95.2
all_modalities,nasal,0.4663932800292968,0.0446164730664123,0.4682803511619567,-0.0018870711326599,0.6972496981910872,0.1322497793695158,5,95.2
all_modalities,silence,0.7898871898651123,0.0303305360718535,0.7683811068534852,0.0215060830116271,0.8914629500197975,0.0908285927411124,5,95.2
all_modalities,stop,0.4073696732521057,0.1074966875226212,0.3716639041900634,0.0357057690620422,0.6604370280050826,0.2315134537546303,5,95.2
all_modalities,vowel,0.9586347341537476,0.0048450597980788,0.9553749918937684,0.0032597422599792,0.9794450886326642,0.0142066878289442,5,95.2
attention_temporal_student,affricate,0.310288143157959,0.2175317983695235,0.3105250000953674,-0.0002368569374084,0.5966254433449014,0.0496753649246746,5,95.2
attention_temporal_student,fricative,0.4057670593261718,0.0518735159001555,0.3962705850601196,0.0094964742660522,0.6588314389337998,0.2040052108800766,5,95.2
attention_temporal_student,glide,0.3571790814399719,0.1252360280060429,0.3548766374588012,0.0023024439811706,0.6181627759271172,0.3496528997545631,5,95.2
attention_temporal_student,liquid,0.3912663102149963,0.1069636955175331,0.3776917695999146,0.0135745406150817,0.6417955691988773,0.3349451189675398,5,95.2
attention_temporal_student,nasal,0.4698750853538513,0.055299437850506,0.4682803511619567,0.0015947341918945,0.7004513202634015,0.1359821612396101,5,95.2
attention_temporal_student,silence,0.7799780964851379,0.0405446725740269,0.7683811068534852,0.0115969896316528,0.8876307649426558,0.0997587096118384,5,95.2
attention_temporal_student,stop,0.3859732151031494,0.1360075980402505,0.3716639041900634,0.0143093109130859,0.6503702553956682,0.2291114723440343,5,95.2
attention_temporal_student,vowel,0.956942617893219,0.0060743226084617,0.9553749918937684,0.0015676259994506,0.9787679343530094,0.0154875438229833,5,95.2
contactless_nonlip,affricate,0.3002844214439392,0.2168659908362607,0.3105250000953674,-0.0102405786514282,0.5860413539478124,0.0394215048257555,5,95.2
contactless_nonlip,fricative,0.4157315731048584,0.0328036323070959,0.3962705850601196,0.0194609880447387,0.6595991759970141,0.1838793333989741,5,95.2
contactless_nonlip,glide,0.3479130864143371,0.1209225580875475,0.3548766374588012,-0.0069635510444641,0.6116789494764505,0.3386259621616176,5,95.2
contactless_nonlip,liquid,0.4023228645324707,0.1021648250291677,0.3776917695999146,0.0246310949325561,0.6492978535579459,0.3296500507700975,5,95.2
contactless_nonlip,nasal,0.4662081122398376,0.0459289042333453,0.4682803511619567,-0.0020722389221191,0.6956835008868968,0.1247147951656088,5,95.2
contactless_nonlip,silence,0.7904228925704956,0.0299551872626502,0.7683811068534852,0.0220417857170104,0.891244678972661,0.0873285754158453,5,95.2
contactless_nonlip,stop,0.40864577293396,0.1020096591786611,0.3716639041900634,0.0369818687438964,0.6594635816036594,0.2215166712267033,5,95.2
contactless_nonlip,vowel,0.9589023470878602,0.0048003934285186,0.9553749918937684,0.0035273551940917,0.9794789524810318,0.0137949723019699,5,95.2
laser,affricate,0.3074151039123535,0.2236241284779842,0.3107751607894897,-0.0033600568771362,0.5932456583698741,0.0507650825210094,5,103.8
laser,fricative,0.415913188457489,0.0442165852977357,0.4116374492645264,0.0042757391929626,0.6591840293500041,0.1785454185919962,5,103.8
laser,glide,0.3629708170890808,0.1412156495638656,0.3650533080101013,-0.0020824909210205,0.6265697183636033,0.3599538011569592,5,103.8
laser,liquid,0.3947357535362243,0.1035801493791821,0.3821633338928222,0.0125724196434021,0.6432572593537935,0.3023378295196947,5,103.8
laser,nasal,0.4857639193534851,0.0482917684352004,0.4853001594543457,0.0004637598991394,0.7079595201876298,0.1372377011762864,5,103.8
laser,silence,0.7898045182228088,0.0309001128349518,0.7802392601966858,0.009565258026123,0.8909325779343332,0.0751244377219958,5,103.8
laser,stop,0.4105146408081054,0.1168327050806392,0.3952232956886291,0.0152913451194763,0.6653705245292296,0.2152669203241345,5,103.8
laser,vowel,0.959216034412384,0.0047736284661243,0.9577283263206482,0.0014877080917358,0.9796669497962732,0.0119142537611701,5,103.8
lip,affricate,0.3376971840858459,0.1670795968556931,0.3462870240211487,-0.0085898399353027,0.6161595189275921,0.0809899072687504,5,105.6
lip,fricative,0.4113770246505737,0.0413535965868077,0.4101588129997253,0.0012182116508483,0.6547299830514802,0.1821051586887963,5,105.6
lip,glide,0.3644762396812439,0.1436588900702,0.3673137664794922,-0.0028375267982482,0.6290968363798536,0.3688487545646826,5,105.6
lip,liquid,0.3826625943183899,0.0986445391934912,0.3767679095268249,0.0058946847915649,0.6330301250440276,0.2949907368859197,5,105.6
lip,nasal,0.4835059881210327,0.0357481154092826,0.4865144729614258,-0.003008484840393,0.7064743735587978,0.1560757300862573,5,105.6
lip,silence,0.7819662451744079,0.0285873551798969,0.7801925539970398,0.0017736911773681,0.887311128794213,0.074911659512182,5,105.6
lip,stop,0.3970661282539368,0.1165164006186642,0.3944823622703552,0.0025837659835815,0.656580263530121,0.2091748218685825,5,105.6
lip,vowel,0.9581554651260376,0.0056256436151731,0.958094334602356,6.113052368164062e-05,0.9792120337132352,0.0117397650829799,5,105.6
mmwave,affricate,0.3457739114761352,0.1501724463041849,0.3459028601646423,-0.000128948688507,0.6178823116831781,0.0769072964796572,5,97.4
mmwave,fricative,0.3976472377777099,0.0434814170271357,0.3953022599220276,0.0023449778556823,0.6452480025757077,0.1524155461587742,5,97.4
mmwave,glide,0.3554383993148803,0.1250020186298531,0.3574443340301513,-0.0020059347152709,0.617129116964778,0.3396346244038397,5,97.4
mmwave,liquid,0.3762956619262695,0.1053454672207936,0.3693897843360901,0.0069058775901794,0.6283511249144421,0.2799366139776996,5,97.4
mmwave,nasal,0.4679665207862854,0.0457739831741406,0.4700284242630005,-0.002061903476715,0.6948606100748584,0.1284190659950729,5,97.4
mmwave,silence,0.7723653435707092,0.0403784596517278,0.7680708050727845,0.0042945384979248,0.8816496912454713,0.0614637792828715,5,97.4
mmwave,stop,0.3784460067749023,0.1148722723322467,0.369358479976654,0.0090875267982482,0.6365366692656268,0.1678662718386445,5,97.4
mmwave,vowel,0.9564710140228272,0.0067239492579434,0.9557353377342224,0.0007356762886047,0.9782822040454332,0.009989164676724,5,97.4
multitask_temporal_student,affricate,0.3111304044723511,0.208936033872948,0.3105250000953674,0.0006054043769836,0.5936041825090629,0.0503749023871403,5,95.2
multitask_temporal_student,fricative,0.4042841553688049,0.0358476554794432,0.3962705850601196,0.0080135703086853,0.6550212347310522,0.2021259946263477,5,95.2
multitask_temporal_student,glide,0.350412905216217,0.1215048755532055,0.3548766374588012,-0.0044637322425842,0.6147897226774363,0.3409482970519315,5,95.2
