representation,feature,r2_mean,r2_std,class_position_baseline_r2_mean,delta_r2_mean,correlation_mean,order_margin_mean,folds,mean_test_rows
all_modalities,affricate,0.1837257504463195,0.1641371910239052,0.1523170232772827,0.0314087271690368,0.4076245971675097,0.2468475166476,5,33.4
all_modalities,fricative,0.3043120265007019,0.0731802733452705,0.3099728941917419,-0.00566086769104,0.592718668796809,0.320616585003603,5,33.4
all_modalities,glide,0.3411231637001037,0.1650192727710467,0.301025640964508,0.0400975227355957,0.6407288932228431,0.6938795908623796,5,33.4
all_modalities,liquid,0.5320780277252197,0.1167638085801098,0.4960978031158447,0.035980224609375,0.7389897806165272,0.5238438319929806,5,33.4
all_modalities,nasal,0.3955155253410339,0.1029562981183648,0.4006462693214416,-0.0051307439804077,0.6487662795781121,0.176413003924358,5,33.4
all_modalities,silence,0.6666865706443786,0.107310857741489,0.6083739757537842,0.0583125948905944,0.8261067312007034,0.2688552258463238,5,33.4
all_modalities,stop,0.3301458239555359,0.2155993237301944,0.2842056155204773,0.0459402084350585,0.6000474083958479,0.3164688482640281,5,33.4
all_modalities,vowel,0.6735537886619568,0.098136243733017,0.6175127267837525,0.0560410618782043,0.8311260654763464,0.2712135212093371,5,33.4
attention_temporal_student,affricate,0.1880811691284179,0.1356499149909758,0.1523170232772827,0.0357641458511352,0.4064401658909519,0.2294599962341599,5,33.4
attention_temporal_student,fricative,0.3055894017219543,0.0794314070313184,0.3099728941917419,-0.0043834924697875,0.5995725511992585,0.3218775156421288,5,33.4
attention_temporal_student,glide,0.3172037005424499,0.1823007398351227,0.301025640964508,0.0161780595779418,0.626243599310967,0.6801961238076917,5,33.4
attention_temporal_student,liquid,0.5085819125175476,0.1205446029818926,0.4960978031158447,0.0124841094017028,0.7205217016663685,0.5067451920186916,5,33.4
attention_temporal_student,nasal,0.3985229253768921,0.1097441134257987,0.4006462693214416,-0.0021233439445495,0.6487625575075382,0.1816267617207283,5,33.4
attention_temporal_student,silence,0.6465726852416992,0.1272912794016136,0.6083739757537842,0.038198709487915,0.8195548768014245,0.2748460115306957,5,33.4
attention_temporal_student,stop,0.3080296754837036,0.2503771019597939,0.2842056155204773,0.0238240599632263,0.596255130697004,0.2885522627765423,5,33.4
attention_temporal_student,vowel,0.6537880659103393,0.1200345699870968,0.6175127267837525,0.0362753391265869,0.8216108415770271,0.2760699989657028,5,33.4
contactless_nonlip,affricate,0.1815169334411621,0.1563413314254499,0.1523170232772827,0.0291999101638793,0.4036014707802562,0.2523002999872114,5,33.4
contactless_nonlip,fricative,0.2982804298400879,0.0773856244808431,0.3099728941917419,-0.011692464351654,0.5915126415798212,0.3074408183009949,5,33.4
contactless_nonlip,glide,0.3251646280288696,0.1800460703024221,0.301025640964508,0.0241389870643615,0.6325257461540368,0.679738282679411,5,33.4
contactless_nonlip,liquid,0.5289811849594116,0.1197722276800897,0.4960978031158447,0.0328833818435668,0.7357174843956875,0.5214234302043388,5,33.4
contactless_nonlip,nasal,0.3963347554206848,0.0958995747854147,0.4006462693214416,-0.0043115139007568,0.6485396285355581,0.1751260900015366,5,33.4
contactless_nonlip,silence,0.6671914219856262,0.1163671654749098,0.6083739757537842,0.058817446231842,0.8261914855867319,0.2649220309551173,5,33.4
contactless_nonlip,stop,0.3274654746055603,0.235178532823168,0.2842056155204773,0.043259859085083,0.598977660841821,0.2987118308380395,5,33.4
contactless_nonlip,vowel,0.6742907881736755,0.1057480600203629,0.6175127267837525,0.0567780613899231,0.8301489432301684,0.2692721095866269,5,33.4
laser,affricate,0.1957734227180481,0.1616130453280125,0.1837420940399169,0.0120313286781311,0.4141267791770969,0.233160240881474,5,35.4
laser,fricative,0.3200048208236694,0.0739563500789837,0.3229397177696228,-0.0029348969459533,0.6023495666823696,0.2946338553780276,5,35.4
laser,glide,0.2777246832847595,0.3097309108007855,0.2640397906303405,0.0136848926544189,0.6372738079924878,0.6948794006147399,5,35.4
laser,liquid,0.5335962295532226,0.1196317879450998,0.5090689897537232,0.0245272397994995,0.7355205724629894,0.4912559336843021,5,35.4
laser,nasal,0.4194558262825012,0.0785771001451115,0.4133551955223083,0.0061006307601928,0.6589653161351603,0.1560578637280537,5,35.4
laser,silence,0.6652797222137451,0.0969545550058449,0.6283393740653992,0.0369403481483459,0.8262526461263369,0.2165831386373752,5,35.4
laser,stop,0.3265630364418029,0.2224928681556388,0.3032742619514465,0.0232887744903564,0.6026661334595318,0.2512108947111385,5,35.4
laser,vowel,0.6675395011901856,0.0951391726899939,0.6331693172454834,0.0343701839447021,0.827350348159106,0.2172451972169352,5,35.4
lip,affricate,0.1935742616653442,0.1606128801661354,0.1839531779289245,0.0096210837364196,0.4164064409108988,0.2382189713931468,5,35.6
lip,fricative,0.334217631816864,0.0538141275237417,0.3224928736686706,0.0117247581481933,0.6078805082804281,0.3055580447651448,5,35.6
lip,glide,0.2583512306213379,0.3085151926798962,0.2693983793258667,-0.0110471487045288,0.6385123010426739,0.7120447370312019,5,35.6
lip,liquid,0.5039442539215088,0.1308603579993755,0.5086280941963196,-0.0046838402748107,0.7248457448726701,0.4635881545508738,5,35.6
lip,nasal,0.4014648675918579,0.096100137887275,0.4138771653175354,-0.0124122977256774,0.6520992593529151,0.1640907339065976,5,35.6
lip,silence,0.6131910800933837,0.0831360964428046,0.6263032913208008,-0.0131122112274169,0.8022738176022056,0.1899760456473939,5,35.6
lip,stop,0.2657990932464599,0.1100320038097316,0.3025550484657288,-0.0367559552192688,0.5730961764050149,0.249237483105153,5,35.6
lip,vowel,0.6247203588485718,0.0848479333533914,0.6324952006340027,-0.0077748417854309,0.8083819983132436,0.1897097130313575,5,35.6
mmwave,affricate,0.1705278158187866,0.1310458809169198,0.1525319695472717,0.0179958462715148,0.3900574067663239,0.2489449382331539,5,33.6
mmwave,fricative,0.3068304419517517,0.0637228440653283,0.3091697812080383,-0.0023393392562866,0.5886170625215225,0.2799780281170509,5,33.6
mmwave,glide,0.3117104887962341,0.2041463329442701,0.3067641258239746,0.0049463629722595,0.6307601971767307,0.6726794039194622,5,33.6
mmwave,liquid,0.5033884882926941,0.1251561607317768,0.4953818678855896,0.0080066204071044,0.7194790311163848,0.4697946402426877,5,33.6
mmwave,nasal,0.3973680377006531,0.0895284980921855,0.401149034500122,-0.0037809967994689,0.64569418301803,0.1558571676822674,5,33.6
mmwave,silence,0.6227300763130188,0.1104522258954894,0.6061333060264588,0.01659677028656,0.8031267956781655,0.1891111117023582,5,33.6
mmwave,stop,0.3000350713729858,0.2373839804193716,0.2836555242538452,0.0163795471191406,0.5868101898771789,0.2330944118526948,5,33.6
mmwave,vowel,0.6316378116607666,0.1146892674157056,0.6167391538619995,0.014898657798767,0.8072625405692746,0.2009198536075881,5,33.6
multitask_temporal_student,affricate,0.1511105895042419,0.116127225992475,0.1523170232772827,-0.0012064337730407,0.3649834033354207,0.2177791452686822,5,33.4
