user_id,published_cohort,inferred_cohort,speaker_best_cohort,mean_cer,cer_margin_to_runner_up,matches_speaker_best,cohort_assignment_margin,matches_published_id
1,sanitation,breathing,breathing,0.24293754239307777,0.4905911511356157,True,0.807665434763649,False
2,sanitation,breathing,breathing,0.7113970925223194,0.08210718098195413,True,0.807665434763649,False
3,breathing,emergency,emergency,0.4927960927960928,0.22230006105006106,True,0.807665434763649,False
4,sanitation,breathing,breathing,0.20227685200461973,0.469420339692572,True,0.807665434763649,False
5,emergency,sanitation,emergency,0.8515384615384615,0.0027472527472527375,False,0.807665434763649,False
6,sanitation,breathing,breathing,0.19435736677115986,0.4801237077099145,True,0.807665434763649,False
7,sanitation,breathing,breathing,0.29265431080313115,0.41518451703569675,True,0.807665434763649,False
8,breathing,emergency,emergency,0.3148717948717949,0.4824038461538462,True,0.807665434763649,False
9,breathing,emergency,emergency,0.33797313797313794,0.4353922466422467,True,0.807665434763649,False
10,breathing,emergency,emergency,0.036141636141636145,0.6737942612942613,True,0.807665434763649,False
11,breathing,emergency,emergency,0.4176800976800977,0.4450122100122101,True,0.807665434763649,False
12,breathing,emergency,emergency,0.0778998778998779,0.6632860195360195,True,0.807665434763649,False
13,breathing,emergency,emergency,0.1304029304029304,0.6032829670329671,True,0.807665434763649,False
14,emergency,sanitation,sanitation,0.4142948717948718,0.233519536019536,True,0.807665434763649,False
15,emergency,sanitation,sanitation,0.08865384615384615,0.47251831501831504,True,0.807665434763649,False
16,emergency,sanitation,sanitation,0.4100641025641026,0.22632173382173376,True,0.807665434763649,False
17,emergency,sanitation,sanitation,0.2769551282051282,0.38233669108669116,True,0.807665434763649,False
18,emergency,sanitation,sanitation,0.48823717948717943,0.24436355311355323,True,0.807665434763649,False
19,emergency,sanitation,sanitation,0.044070512820512824,0.5037683150183151,True,0.807665434763649,False
20,emergency,sanitation,sanitation,0.2709935897435897,0.37213217338217336,True,0.807665434763649,False
